Case_ID,Detection_Date,Region,Revenue_Stream,Fraud_Type,Is_Fraud_Confirmed,Detection_Time_Hours,Resolution_Time_Hours,Revenue_Loss_USD,Revenue_At_Risk_USD,Analyst_ID,Fraud_Prevented_USD
FRAUD1000,2023-01-12 08:48:06,Europe,Prepaid Data,Wangiri,1,3.6,24.1,54.93,174.99,7,0.0
FRAUD1001,2023-03-11 09:11:36,Africa,Prepaid Data,Wangiri,1,3.6,0.4,101.45,169.58,11,0.0
FRAUD1002,2023-05-12 13:27:02,Americas,Prepaid Data,International Revenue Share Fraud,1,1.3,4.1,89.83,84.16,11,0.0
FRAUD1003,2023-04-03 15:07:17,Africa,Interconnect,Simbox,0,3.6,17.3,66.35,164.04,10,164.04
FRAUD1004,2023-08-03 14:33:43,Americas,Prepaid Voice,CLI Spoofing,1,29.1,2.0,268.76,371.89,10,0.0
FRAUD1005,2023-03-22 00:17:28,Americas,Prepaid Data,CLI Spoofing,1,46.6,23.1,30.41,206.2,4,0.0
FRAUD1006,2023-06-04 09:57:13,Asia,Prepaid Voice,Simbox,1,24.3,1.8,233.38,135.57,14,0.0
FRAUD1007,2023-05-24 23:15:31,Americas,Postpaid Voice,Wangiri,1,3.9,5.4,129.11,100.88,2,0.0
FRAUD1008,2023-03-11 22:36:40,Europe,Prepaid Voice,International Revenue Share Fraud,1,5.6,0.2,66.46,235.05,8,0.0
FRAUD1009,2023-06-06 21:07:44,Africa,Postpaid Voice,Simbox,0,8.7,57.4,109.29,251.38,5,251.38
FRAUD1010,2023-06-09 21:26:24,Americas,Prepaid Voice,CLI Spoofing,0,10.7,62.7,114.89,54.78,13,54.78
FRAUD1011,2023-10-06 23:12:25,Africa,Postpaid Data,Simbox,1,16.4,35.8,37.22,117.73,12,0.0
FRAUD1012,2023-10-22 14:23:56,Africa,Interconnect,CLI Spoofing,1,16.1,11.6,76.77,151.33,11,0.0
FRAUD1013,2023-09-07 18:45:21,Africa,Postpaid Voice,Subscription Fraud,1,4.0,0.8,111.95,32.87,9,0.0
FRAUD1014,2023-09-03 13:18:15,Africa,Interconnect,International Revenue Share Fraud,1,30.3,0.4,118.58,84.83,4,0.0
FRAUD1015,2023-12-03 06:41:27,Africa,Postpaid Voice,Subscription Fraud,1,4.6,40.7,63.93,128.65,10,0.0
FRAUD1016,2023-06-30 14:04:27,Americas,Prepaid Data,Subscription Fraud,0,7.3,10.4,9.4,127.33,7,127.33
FRAUD1017,2023-11-18 20:17:44,Asia,Postpaid Data,Wangiri,1,1.8,1.3,118.01,104.5,9,0.0
FRAUD1018,2023-07-19 09:20:27,Americas,Postpaid Data,Wangiri,1,13.6,1.1,9.28,96.91,6,0.0
FRAUD1019,2023-01-11 21:03:53,Africa,Interconnect,Simbox,1,6.4,27.9,42.5,58.76,13,0.0
FRAUD1020,2023-04-05 08:05:29,Europe,Postpaid Voice,Wangiri,1,24.6,13.6,47.54,66.32,1,0.0
FRAUD1021,2023-08-06 12:50:08,Europe,Postpaid Data,Wangiri,1,26.8,14.1,143.41,61.33,2,0.0
FRAUD1022,2023-10-26 01:26:26,Europe,Postpaid Data,Subscription Fraud,1,10.1,9.6,135.47,67.13,6,0.0
FRAUD1023,2023-03-26 21:39:48,Africa,Interconnect,CLI Spoofing,1,22.2,8.5,65.79,90.08,4,0.0
FRAUD1024,2023-05-05 02:16:22,Americas,Postpaid Voice,International Revenue Share Fraud,1,35.6,77.8,166.51,91.34,7,0.0
FRAUD1025,2023-07-14 19:05:02,Americas,Interconnect,Subscription Fraud,1,6.3,37.0,54.71,202.43,12,0.0
FRAUD1026,2023-01-22 22:34:05,Asia,Prepaid Voice,CLI Spoofing,1,28.3,7.0,109.25,76.7,13,0.0
FRAUD1027,2023-04-10 16:45:52,Africa,Prepaid Voice,Simbox,1,7.8,16.6,251.76,216.1,4,0.0
FRAUD1028,2023-09-17 09:58:12,Africa,Prepaid Voice,Subscription Fraud,1,5.3,1.2,62.67,25.98,7,0.0
FRAUD1029,2023-01-21 20:18:10,Asia,Postpaid Voice,Simbox,1,17.9,3.9,39.94,132.07,10,0.0
FRAUD1030,2023-08-09 08:51:48,Asia,Prepaid Data,Subscription Fraud,1,10.6,17.8,382.56,192.36,7,0.0
